aff_country,aff_country_code,year,gender,specialization,author_anon_id,pub_anon_id
China,CN,2025,male,Chemistry,Af103ef0d80ce,Paeb9d85274a2
China,CN,2025,male,Chemistry,Afb5914645166,Paeb9d85274a2
China,CN,2025,male,Materials Science,Ab1e8b19bae0b,Paeb9d85274a2
Spain,ES,2025,male,Environmental Science,A38327606686f,Paeb9d85274a2
China,CN,2025,male,Materials Science,Afafd8838d7fe,Pf8c66ca7c94a
Egypt,EG,2025,male,Materials Science,Afafd8838d7fe,Pf8c66ca7c94a
China,CN,2025,male,Chemistry,A97ac53e456d9,Pf8c66ca7c94a
China,CN,2025,male,Materials Science,A495ed70d748b,Pf8c66ca7c94a
China,CN,2025,male,Chemistry,Af103ef0d80ce,Pf8c66ca7c94a
Spain,ES,2025,male,Environmental Science,A38327606686f,Pf8c66ca7c94a
China,CN,2025,male,Materials Science,Ab1e8b19bae0b,Pf8c66ca7c94a
China,CN,2025,unknown,Materials Science,A3b3c93f5c45e,Pc31ee0fc09c6
China,CN,2025,unknown,Materials Science,A3b3c93f5c45e,Pc31ee0fc09c6
China,CN,2025,male,Chemistry,Afb5914645166,Pc31ee0fc09c6
China,CN,2025,male,Materials Science,A11460d5aa670,Pc31ee0fc09c6
China,CN,2025,male,Environmental Engineering,A60af1130add6,Pc31ee0fc09c6
Spain,ES,2025,male,Environmental Science,A38327606686f,Pc31ee0fc09c6
China,CN,2025,male,Materials Science,Ab1e8b19bae0b,Pc31ee0fc09c6
China,CN,2025,male,Materials Science,Ab1e8b19bae0b,Pc31ee0fc09c6
China,CN,2025,male,Materials Science,Ab1e8b19bae0b,Pc31ee0fc09c6
China,CN,2025,male,Materials Science,A11460d5aa670,P8d6cc990644e
Australia,AU,2025,male,Materials Science,A11460d5aa670,P8d6cc990644e
China,CN,2025,male,Environmental Engineering,A60af1130add6,P8d6cc990644e
Australia,AU,2025,male,Chemistry,A72195b54cd22,P8d6cc990644e
China,CN,2025,male,Chemistry,A915c95ef1178,P8d6cc990644e
China,CN,2025,unknown,Chemistry,A6e2aff8d4f11,P8d6cc990644e
China,CN,2025,unknown,Chemistry,A6e2aff8d4f11,P8d6cc990644e
China,CN,2025,male,Materials Science,Abd4f9c40c87e,P8d6cc990644e
China,CN,2025,unknown,Materials Science,A163297e46e52,P17d0ee011aa1
China,CN,2025,unknown,Materials Science,A163297e46e52,P17d0ee011aa1
China,CN,2025,male,Materials Science,A4a0998b8e22b,P17d0ee011aa1
China,CN,2025,male,Environmental Engineering,A0122def5b1c2,P17d0ee011aa1
China,CN,2025,unknown,Computational / Modeling,Af8ecffc8330e,P17d0ee011aa1
Australia,AU,2025,female,Environmental Engineering,A03752a964def,P17d0ee011aa1
China,CN,2025,male,Physics,A3b590d2596a1,P17d0ee011aa1
China,CN,2025,male,Environmental Science,A4de916b6f0b8,P17d0ee011aa1
United States,US,2025,male,Civil Engineering,Ab7464adbc9d2,P17d0ee011aa1
China,CN,2025,male,Environmental Engineering,A75e56c11dcda,P17d0ee011aa1
China,CN,2025,male,Environmental Engineering,A0d87c26033d1,P17d0ee011aa1
China,CN,2025,male,Environmental Engineering,Aa6270b01971b,P17d0ee011aa1
China,CN,2025,unknown,Materials Science,A7405c4069613,P17d0ee011aa1
China,CN,2025,unknown,Environmental Engineering,A91b68983525e,Pc97bf25865b0
China,CN,2025,male,Chemistry,Afb5914645166,Pc97bf25865b0
China,CN,2025,unknown,Chemistry,A5d5fe6cddb0d,Pc97bf25865b0
Spain,ES,2025,male,Environmental Science,A38327606686f,Pc97bf25865b0
China,CN,2025,male,Chemistry,Af103ef0d80ce,Pc97bf25865b0
China,CN,2025,male,Materials Science,A11460d5aa670,Pc97bf25865b0
China,CN,2025,male,Materials Science,Ab1e8b19bae0b,Pc97bf25865b0
China,CN,2025,unknown,Materials Science,A116dd43f5546,P7c82ccbe194a
China,CN,2025,unknown,Materials Science,A116dd43f5546,P7c82ccbe194a
China,CN,2025,unknown,Materials Science,A116dd43f5546,P7c82ccbe194a
China,CN,2025,unknown,Chemistry,A27d96bd66b84,P7c82ccbe194a
China,CN,2025,unknown,Chemistry,A27d96bd66b84,P7c82ccbe194a
China,CN,2025,unknown,Materials Science,Af55d88d046b1,P7c82ccbe194a
China,CN,2025,unknown,Materials Science,Af55d88d046b1,P7c82ccbe194a
China,CN,2025,unknown,Materials Science,Af55d88d046b1,P7c82ccbe194a
Germany,DE,2025,female,Physics,A31be42760a0b,P7c82ccbe194a
China,CN,2025,male,Materials Science,Ab6556211059e,P7c82ccbe194a
China,CN,2025,unknown,Environmental Science,A0a4539517830,P7c82ccbe194a
China,CN,2025,unknown,Environmental Science,A0a4539517830,P7c82ccbe194a
China,CN,2025,male,Chemistry,A4655057dee62,P7c82ccbe194a
China,CN,2025,male,Chemistry,A4655057dee62,P7c82ccbe194a
China,CN,2025,unknown,Materials Science,Af9b4a2748a79,P7c82ccbe194a
China,CN,2025,unknown,Materials Science,Af9b4a2748a79,P7c82ccbe194a
China,CN,2025,unknown,Materials Science,Ad5ecc52b7111,P7c82ccbe194a
China,CN,2025,unknown,Materials Science,Ae75c59644b48,P7c82ccbe194a
China,CN,2025,unknown,Materials Science,Ae75c59644b48,P7c82ccbe194a
Taiwan,TW,2025,male,Chemistry,Ade11f80cd814,P7c82ccbe194a
China,CN,2025,male,Chemistry,Ad2c64d944b4d,P7c82ccbe194a
Germany,DE,2025,female,Materials Science,A441f32c5146e,P7c82ccbe194a
China,CN,2025,male,Environmental Engineering,Aa6270b01971b,P7c82ccbe194a
China,CN,2025,male,Materials Science,A52334e383e85,P7c82ccbe194a
China,CN,2025,male,Environmental Engineering,A17cffab5e939,P7c82ccbe194a
