aff_country,aff_country_code,year,gender,specialization,author_anon_id,pub_anon_id
United States,US,2025,male,Internal Medicine,Ac047bf941cb8,P12c4680a5a2f
United States,US,2025,male,Internal Medicine,Ac047bf941cb8,P12c4680a5a2f
Germany,DE,2025,male,Internal Medicine,A65cd1d1f01bb,P12c4680a5a2f
Germany,DE,2025,male,Internal Medicine,A65cd1d1f01bb,P12c4680a5a2f
Canada,CA,2025,female,Cardiology,A7377c4c6ea73,P12c4680a5a2f
United Kingdom,GB,2025,male,Cardiology,A50f2943dbf49,P12c4680a5a2f
United States,US,2025,male,Internal Medicine,A54200dd73478,P12c4680a5a2f
United States,US,2025,female,Internal Medicine,Ad75c9bd62613,P12c4680a5a2f
Germany,DE,2025,male,Internal Medicine,A1d51b8d97097,P12c4680a5a2f
Germany,DE,2025,male,Internal Medicine,A1d51b8d97097,P12c4680a5a2f
United States,US,2025,male,Biostatistics,Af751bd9fe6fe,P12c4680a5a2f
United Kingdom,GB,2025,male,Epidemiology,Af64b60959415,P12c4680a5a2f
Denmark,DK,2025,male,Business,Af46fd65cdf0f,P12c4680a5a2f
Denmark,DK,2025,female,Cardiology,A4968dbdd6ce3,P12c4680a5a2f
Denmark,DK,2025,male,Internal Medicine,A98687b84a2af,P12c4680a5a2f
Denmark,DK,2025,female,Cardiology,A74828677caf2,P12c4680a5a2f
United Kingdom,GB,2025,male,Internal Medicine,A52cb276acc8b,P12c4680a5a2f
United States,US,2025,male,Cardiology,A597692134005,P12c4680a5a2f
Denmark,DK,2025,female,Statistics,Abeff547e0117,P12c4680a5a2f
Denmark,DK,2025,male,Cardiology,Ab03da4a3d8c5,P12c4680a5a2f
United States,US,2025,male,Internal Medicine,Aecf877d9eda3,P12c4680a5a2f
United States,US,2025,male,Internal Medicine,A77c21dacbd16,P8180aac5f045
United States,US,2025,male,Internal Medicine,A77c21dacbd16,P8180aac5f045
United States,US,2025,female,Internal Medicine,A1b6c01391205,P8180aac5f045
Netherlands,NL,2025,male,Clinical Pharmacy,A302195fc7c86,P8180aac5f045
Netherlands,NL,2025,male,Clinical Pharmacy,A302195fc7c86,P8180aac5f045
Germany,DE,2025,male,Internal Medicine,A1d51b8d97097,P8180aac5f045
Germany,DE,2025,male,Internal Medicine,A1d51b8d97097,P8180aac5f045
United States,US,2025,female,Internal Medicine,A8562ad162ed5,P8180aac5f045
United States,US,2025,female,Epidemiology,A0a982b89120d,P8180aac5f045
United States,US,2025,male,Internal Medicine,A0bde5634ba80,P8180aac5f045
Denmark,DK,2025,male,Internal Medicine,A05e14d24db0c,P8180aac5f045
Denmark,DK,2025,male,Internal Medicine,A05e14d24db0c,P8180aac5f045
United States,US,2025,male,Internal Medicine,A1e620567be50,P8180aac5f045
United States,US,2025,male,Internal Medicine,A1e620567be50,P8180aac5f045
Germany,DE,2025,female,Clinical Medicine,Ac348b40d377b,P8180aac5f045
Sweden,SE,2025,male,Cardiology,A6fe5a7c4f575,P8180aac5f045
Sweden,SE,2025,male,Cardiology,A6fe5a7c4f575,P8180aac5f045
China,CN,2025,female,Finance,A07510fbcac2b,P8180aac5f045
Germany,DE,2025,male,Business,A14415b8c5b51,P8180aac5f045
United States,US,2025,male,Statistics,A23e36e9365a6,P8180aac5f045
Japan,JP,2025,male,Internal Medicine,A17303fc2a02f,P8180aac5f045
Italy,IT,2025,female,Internal Medicine,A3bbd0f5b0c45,P67694f6e606a
Italy,IT,2025,female,Internal Medicine,A3bbd0f5b0c45,P67694f6e606a
United States,US,2025,male,Internal Medicine,A77c21dacbd16,P67694f6e606a
China,CN,2025,female,Epidemiology,Ad1f9700c44cd,P67694f6e606a
Canada,CA,2025,female,Internal Medicine,A7103d6c4eb0b,P67694f6e606a
Canada,CA,2025,female,Internal Medicine,A7103d6c4eb0b,P67694f6e606a
Uganda,UG,2025,male,Internal Medicine,A16adb6f52b24,P67694f6e606a
Uganda,UG,2025,male,Internal Medicine,A16adb6f52b24,P67694f6e606a
United States,US,2025,female,Internal Medicine,Ad83bc45d319d,P67694f6e606a
Lebanon,LB,2025,female,Internal Medicine,Ad83bc45d319d,P67694f6e606a
Japan,JP,2025,male,Internal Medicine,Aab3d61cb0d48,P67694f6e606a
Mexico,MX,2025,male,Internal Medicine,Ae4b5a5839b85,P67694f6e606a
Germany,DE,2025,male,Internal Medicine,Ab33d651ea75d,P67694f6e606a
